Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8;Resultado
-3;-8;3;-19;-22;-14;-6;-7;1
-6;-4;-7;3;-1;-3;3;-4;1
5;15;11;21;-6;-12;-8;3;1
7;-9;-2;-9;-11;11;8;14;1
0;1;6;-19;-2;-2;-4;0;1
-22;-16;-2;-9;-3;-3;-8;-24;1
7;0;-5;-26;-11;-17;-3;3;1
21;25;-2;30;18;15;34;29;1
-9;-20;-15;-14;3;-19;-10;-11;1
-4;4;11;-10;-11;-25;-16;-12;1
9;3;11;27;18;25;7;10;1
-1;0;3;-10;-10;-25;-13;-3;1
3;5;5;5;19;24;14;3;1
-3;3;6;7;20;34;3;0;1
0;-9;-30;-49;-33;-44;-25;-15;1
-21;-16;-8;-31;3;14;-4;-11;1
16;8;18;47;1;-9;2;10;1
0;-2;-9;11;11;-10;1;6;1
18;21;-1;12;-2;25;14;17;1
-10;0;-12;-8;20;0;4;-6;1
-10;-2;1;2;-9;7;1;-6;1
6;5;0;32;22;21;14;16;1
-9;-15;-14;-12;-37;-42;-5;0;1
14;14;20;21;-4;-3;3;7;1
-7;-8;1;-5;16;26;-6;-20;1
-2;0;-8;-27;-35;-12;-3;-7;1
-6;-13;1;-18;8;6;-4;-10;1
-8;-6;-10;-10;-5;0;-9;-7;1
3;0;-9;-22;3;-3;-3;-3;1
4;6;16;18;14;10;6;6;1
3;3;-11;13;34;60;18;9;1
4;3;2;12;32;5;-5;1;1
0;5;36;-4;-11;0;-2;0;1
-2;0;-5;-11;30;9;0;-1;1
-4;4;-33;-8;-2;-8;-3;2;1
-1;1;26;-2;-20;2;-1;-7;1
-10;-20;-5;-33;-29;-16;-11;-6;1
-7;-8;-5;2;14;-4;-2;4;1
-4;1;-11;-7;15;-1;-6;-2;1
-4;-24;-5;-5;-15;3;0;1;1
22;16;17;38;2;1;5;17;1
-6;-4;6;10;0;1;1;-7;1
-5;4;10;8;52;4;-2;-6;1
6;7;13;15;12;3;5;5;1
-1;-3;0;-5;4;6;5;8;1
0;3;0;-12;-8;-1;0;-1;1
10;11;2;11;28;12;4;8;1
2;-6;-4;-8;9;-3;-2;-2;1
-8;-12;4;11;10;-5;-6;-6;1
-2;1;-2;-12;2;-3;1;-1;1
4;-1;13;24;19;7;7;6;1
9;12;26;55;11;6;3;5;1
-6;-6;35;-2;-37;-11;-6;-3;1
-7;-7;2;-7;-5;-3;-3;-5;1
-3;-4;-7;-13;-8;-4;-2;6;1
0;2;8;21;4;3;2;0;1
-6;-3;-5;-9;-5;-4;-4;-5;1
-3;-11;-13;-34;-3;-5;-4;-6;1
2;-2;2;3;-3;-3;-2;-2;0
-3;-7;-10;-15;-4;-4;-5;-3;0
-3;0;-13;-1;-5;-1;-2;-1;0
0;1;-4;1;0;-1;2;-2;0
-1;2;4;8;-4;-2;-3;-3;0
0;7;-2;6;1;-1;0;-4;0
-2;0;2;-4;-4;-5;-4;-3;0
-3;-1;4;-5;-4;-3;-1;-2;0
0;-2;1;0;0;1;-2;0;0
0;0;7;4;0;-1;0;4;0
-4;-6;7;4;0;0;-1;-2;0
-2;-2;-4;2;0;0;-1;0;0
-1;4;-4;2;-1;-1;-1;1;0
-3;-3;-2;-4;-1;-3;-4;-2;0
0;0;1;6;3;1;1;0;0
2;1;0;4;2;-1;1;-1;0
5;0;-2;6;2;3;2;4;0
-3;-3;-2;-5;-1;-1;-2;-1;0
-2;2;-2;3;1;-2;-2;-1;0
0;0;-1;-6;-4;-1;-2;-2;0
-1;0;-6;4;1;-1;1;-1;0
-64;3;-5;6;2;4;3;2;0
1;1;-7;2;0;-1;-1;1;0
-1;0;-6;-1;-2;-4;-2;-2;0
1;0;0;4;2;2;-1;2;0
1;3;0;8;6;4;3;2;0
0;-1;5;-3;-2;0;-1;-2;0
0;-1;-1;-2;-1;-2;-1;-1;0
-3;-1;6;-2;-2;-2;-3;-1;0
-2;-2;3;-1;-1;-1;-1;-1;0
0;-2;-1;-2;-1;1;0;0;0
1;1;0;0;0;0;1;1;0
-3;-3;4;2;2;0;0;-2;0
0;1;4;1;2;-3;1;1;0
0;0;3;1;1;-1;0;2;0
0;0;-6;-2;-1;-1;-3;-1;0
-1;-2;1;-3;-2;-2;-2;-2;0
-3;-2;5;-4;-2;-3;-2;-2;0
-1;-2;-1;-3;2;-2;-1;-1;0
0;0;0;1;2;0;0;0;0
-1;0;-6;5;2;-1;1;-1;0
-1;0;-7;-2;0;-1;1;-1;0
2;3;1;6;3;2;3;-1;0
-2;-1;-1;-2;-2;1;-1;-2;0
-1;-1;-6;-5;-1;-4;-3;-2;0
0;-1;4;0;-2;0;-1;0;0
0;0;-1;-1;-1;-2;-1;0;0
2;-2;0;-2;0;-1;-3;1;0
-3;-2;-3;-6;-2;0;-1;0;0
0;-3;3;0;-2;-3;0;-2;0
-3;-1;-4;-3;-3;-2;-1;-3;0
1;1;3;6;1;0;1;1;0
1;-1;0;-2;0;1;0;0;0
1;-2;1;-2;-1;0;-1;0;0
0;0;3;0;0;-1;0;-1;0
-1;-2;-1;1;-1;-4;-3;-1;0
-3;-3;0;-5;-2;-1;-1;-2;0
